user_name,wine_name,user_rating,avg_rating,profile_url
Bartek Wysocki,Atlantique Sauvignon Blanc 2020,4.0,3.6,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Jack Rabbit Sauvignon Blanc 2014,3.0,3.3,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Khareba Kazbek Peak Saperavi 2020,4.5,3.7,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Perez Barquero Old Porter White Sweet 2014,3.5,3.3,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Peter Mertes Privatkellerei Liebfraumilch Lieblich 2019,4.0,0.0,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Khareba Alazani Valley Medium Sweet Red 2019,4.0,4.3,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Unknown Winery Sakkari Alazani Valley Valley,4.0,4.1,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Marani Saperavi (Cаперави) 2015,4.0,3.7,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Sant'Orsola Lambrusco Rosso 2008,4.0,3.7,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Lions Gate Sauvignon Blanc - Sémillon 2013,3.0,3.1,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Viña Zamporia Carmenère 2012,3.0,3.3,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Psagot Edom Red 2011,3.0,3.9,https://www.vivino.com/users/bartek.wy
Bartek Wysocki,Bepin de Eto Brut Brut,5.0,3.9,https://www.vivino.com/users/bartek.wy
Barteq Flo,Attanasio Primitivo di Manduria Manduria,5.0,4.4,https://www.vivino.com/users/barteq.flo
Barteq Flo,Carodorum Carodorum De Autor Tinta de Toro Toro,4.5,4.0,https://www.vivino.com/users/barteq.flo
Barteq Flo,Gustavshof Riesling Kalkstein Trocken Trocken,4.5,3.9,https://www.vivino.com/users/barteq.flo
Barteq Flo,Marqués de Reinosa Private Collection Garnacha 2016,4.0,3.9,https://www.vivino.com/users/barteq.flo
Barteq Flo,Tenuta Gorghi Tondi Dumè 2019,4.0,3.8,https://www.vivino.com/users/barteq.flo
Barteq Flo,Recanati Shiraz Shiraz,4.5,3.6,https://www.vivino.com/users/barteq.flo
Barteq Flo,Bodegas Piqueras El Abuelo de Piqueras Reserva Reserva,4.0,4.1,https://www.vivino.com/users/barteq.flo
Barteq Flo,Luna Argenta Appassite Negroamaro - Primitivo 2018,4.0,4.2,https://www.vivino.com/users/barteq.flo
Barteq Flo,Ca' Vittoria Appassimento Limited Edition 2019,4.0,4.2,https://www.vivino.com/users/barteq.flo
Barteq Flo,Pasqua Vigneti e Cantine Desire Lush & Zin Primitivo 2018,4.0,4.2,https://www.vivino.com/users/barteq.flo
Barteq Flo,Rata Road Sauvignon Blanc Blanc,4.5,4.1,https://www.vivino.com/users/barteq.flo
Barteq Flo,Hugo Casanova Don Aldo Founder's Reserve 2010,4.0,3.6,https://www.vivino.com/users/barteq.flo
Barteq Flo,Contessa Carola Segreto Rosso Primitivo di Manduria 2016,4.0,3.9,https://www.vivino.com/users/barteq.flo
Barteq Flo,Duca di Sasseta Espera Primitivo 2015,4.0,3.8,https://www.vivino.com/users/barteq.flo
Barteq Flo,Luccarelli Il Bacca Old Vine Primitivo di Manduria 2016,4.0,4.4,https://www.vivino.com/users/barteq.flo
Barteq Flo,Feudi di San Gregorio Primitivo 2017,4.0,3.9,https://www.vivino.com/users/barteq.flo
Barteq Flo,Tenute Orestiadi Perricone 2016,4.0,3.9,https://www.vivino.com/users/barteq.flo
Bartolomeu,Cremaschi Furlotti Tucapel Gran Reserva Carmenère 2014,4.0,3.6,https://www.vivino.com/users/bartolomeu_pereira
Bartolomeu,Fratelli Cella Lambrusco dell'Emilia Bianco N.V.,4.0,3.7,https://www.vivino.com/users/bartolomeu_pereira
Bartolomeu,Casillero del Diablo Cabernet Sauvignon (Reserva) 2016,4.0,3.6,https://www.vivino.com/users/bartolomeu_pereira
Bartolomeu,Viña Santa Helena Reservado Sauvignon Blanc 2016,4.0,3.3,https://www.vivino.com/users/bartolomeu_pereira
Bartolomeu,Reservado Cabernet Sauvignon 2015,4.0,3.3,https://www.vivino.com/users/bartolomeu_pereira
Bartolomeu,Almadén Cabernet Sauvignon 2001,4.5,0.0,https://www.vivino.com/users/bartolomeu_pereira
Barton Ray,Malma - NQN Cholila Ranch Malbec 2016,3.0,3.6,https://www.vivino.com/users/barton.ray
Barton Ray,Salida Zinfandel 2015,4.0,0.0,https://www.vivino.com/users/barton.ray
Barton Ray,Catena Appellation San Carlos Cabernet Franc 2015,4.5,3.9,https://www.vivino.com/users/barton.ray
Barton Ray,Vivanco Selección De Familia Crianza Rioja 2013,3.5,3.8,https://www.vivino.com/users/barton.ray
Barton Ray,Saviah The Jack Red Blend 2014,3.5,3.8,https://www.vivino.com/users/barton.ray
Barton Ray,Unknown Winery Artiga Selección Old Vine Garnacha 2016,3.0,0.0,https://www.vivino.com/users/barton.ray
Barton Ray,Château Élan Reserve Scarlet 2015,4.0,3.8,https://www.vivino.com/users/barton.ray
Barton Ray,Château de Sancerre Sancerre Rouge 2013,3.5,3.9,https://www.vivino.com/users/barton.ray
Barton Ray,Dr. Konstantin Frank Riesling Dry 2016,3.5,4.0,https://www.vivino.com/users/barton.ray
Barton Ray,Cono Sur Organic Red Blend (Cabernet Sauvignon - Carmenere - Syrah) 2016,2.5,3.4,https://www.vivino.com/users/barton.ray
Barton Ray,Castello di Gabbiano Pinot Grigio Promessa 2015,2.0,3.2,https://www.vivino.com/users/barton.ray
Barton Ray,Devil Proof Malbec 2015,5.0,4.5,https://www.vivino.com/users/barton.ray
Barton Ray,Gardet 120 Anniversary Extra Brut Champagne N.V.,5.0,4.5,https://www.vivino.com/users/barton.ray
Barton Ray,Meiomi Pinot Noir 2016,4.0,4.1,https://www.vivino.com/users/barton.ray
Barton Ray,Ontañón Rioja Viticultura Ecológica 2014,3.5,3.7,https://www.vivino.com/users/barton.ray
Barton Ray,Catena Appellation San Carlos Cabernet Franc 2014,4.0,3.9,https://www.vivino.com/users/barton.ray
Barton Ray,Mesa Park Vineyards Barn Owl Red 2014,3.5,0.0,https://www.vivino.com/users/barton.ray
Barton Ray,Altos del Plata Malbec 2014,4.0,3.5,https://www.vivino.com/users/barton.ray
Barton Ray,Ravenswood Vintners Blend Petite Sirah 2013,3.5,3.4,https://www.vivino.com/users/barton.ray
Barton Ray,Doña Paula Estate Black Edition Red 2015,4.0,3.8,https://www.vivino.com/users/barton.ray
Bartłomiej Żaba,Barefoot Pinot Grigio 2014,3.5,3.5,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Saxenburg Private Collection Syrah 2014,4.0,3.8,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Tinazzi Vinum Italicum No 3 Opera Opera,5.0,4.2,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Cantina Produttori di Valdobbiadene - Ca'Val Valdobbiadene Prosecco Superiore Millesimato Brut 2020,2.5,3.6,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Portada Winemaker's Selection Branco 2020,4.5,3.9,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Cin & Cin Prosecco 2019,4.0,3.5,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Gato Negro Merlot Merlot,2.0,3.2,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Cono Sur Bicicleta Reserva Cabernet Sauvignon 2019,4.5,3.6,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Bolyki Egri Csillag 2020,4.0,3.7,https://www.vivino.com/users/bartlomiej.zaba
Bartłomiej Żaba,Les Petites Caves Bordeaux 2018,3.0,3.0,https://www.vivino.com/users/bartlomiej.zaba
